,mean_abs_shap
fast_gamma_logpow_AF8,0.17415172973938053
fast_gamma_logpow_TP7,0.12916227056878962
fast_gamma_logpow_POz,0.12452275946000199
slow_gamma_logpow_POz,0.10472286749222084
fast_gamma_logpow_TP9,0.10288794862643512
slow_gamma_logpow_TP10,0.09525463352160424
fast_gamma_logpow_PO4,0.08778533151958176
fast_gamma_logpow_P2,0.08186158772702343
slow_gamma_logpow_PO4,0.0743900307257613
fast_gamma_logpow_P7,0.07372871271714465
slow_gamma_logpow_T7,0.06346174645691713
slow_gamma_logpow_TP7,0.05482200556341415
aperiodic_offset_Oz,0.054626314194155375
fast_gamma_logpow_CP6,0.05146193473460779
fast_gamma_logpow_AF4,0.05012353389856946
fast_gamma_logpow_P8,0.04796107569777075
fast_gamma_logpow_TP10,0.041869429223108635
spectral_entropy_P1,0.041156910012947294
aperiodic_offset_C2,0.03966946506024681
slow_gamma_logpow_P2,0.038446115339176086
delta_logpow_CP5,0.03743091103019508
fast_gamma_logpow_P1,0.03642605390370193
fast_gamma_logpow_T8,0.031931052004606095
fast_gamma_logpow_C6,0.03135662849627953
fast_gamma_logpow_CP4,0.03115064052594451
fast_gamma_logpow_Oz,0.028786966866077946
fast_gamma_logpow_CP5,0.02825564033397233
fast_gamma_logpow_C1,0.027465945645835994
slow_gamma_logpow_AF8,0.026505548908685554
fast_gamma_logpow_Pz,0.026168247652901093
spectral_entropy_AF8,0.02458541010258186
fast_gamma_logpow_FC1,0.02327767423751365
delta_relpow_CP5,0.021206084726549182
fast_gamma_logpow_AF7,0.02096606963601726
fast_gamma_logpow_C4,0.01892969357376994
theta_relpow_T8,0.01858215390166575
aperiodic_exponent_Oz,0.017542946762790196
delta_relpow_T8,0.01731629658830338
fast_gamma_logpow_AFz,0.01702001196063066
aperiodic_exponent_CP5,0.01676737015681394
fast_gamma_relpow_CP5,0.015787056523357483
fast_gamma_logpow_FT8,0.015456203725151954
aperiodic_offset_CP5,0.015107326942492626
fast_gamma_logpow_Iz,0.014073117651080493
theta_relpow_Oz,0.013472586886772882
hjorth_mobility_T8,0.013388725038297584
slow_gamma_logpow_Cz,0.013131218927246927
fast_gamma_logpow_T7,0.013002514962007513
fast_gamma_relpow_T8,0.012769516051069473
delta_relpow_P6,0.012441920325496087
fast_gamma_logpow_Fp1,0.012322014424493566
slow_gamma_relpow_P1,0.011922803017063617
beta_relpow_C5,0.011525060950130459
beta_relpow_Fp2,0.011467769478064941
slow_gamma_logpow_C1,0.011099329169775967
slow_gamma_logpow_Oz,0.01098469478272672
delta_relpow_TP10,0.01025897107332146
aperiodic_offset_TP7,0.010154633568091601
hjorth_complexity_Fp1,0.010060516031664673
fast_gamma_logpow_F4,0.009888005734065838
